scenario,probability,timestamp,price_eur_per_mwh
deep_low,0.05,2026-01-01T00:00:00Z,8.2
deep_low,0.05,2026-01-01T01:00:00Z,5.6
deep_low,0.05,2026-01-01T02:00:00Z,3.5
deep_low,0.05,2026-01-01T03:00:00Z,2.7
deep_low,0.05,2026-01-01T04:00:00Z,4.0
deep_low,0.05,2026-01-01T05:00:00Z,8.2
deep_low,0.05,2026-01-01T06:00:00Z,16.2
deep_low,0.05,2026-01-01T07:00:00Z,26.0
deep_low,0.05,2026-01-01T08:00:00Z,31.4
deep_low,0.05,2026-01-01T09:00:00Z,28.4
deep_low,0.05,2026-01-01T10:00:00Z,21.3
deep_low,0.05,2026-01-01T11:00:00Z,-10
deep_low,0.05,2026-01-01T12:00:00Z,-22
deep_low,0.05,2026-01-01T13:00:00Z,-34
deep_low,0.05,2026-01-01T14:00:00Z,-46
deep_low,0.05,2026-01-01T15:00:00Z,21.1
deep_low,0.05,2026-01-01T16:00:00Z,29.9
deep_low,0.05,2026-01-01T17:00:00Z,39.5
deep_low,0.05,2026-01-01T18:00:00Z,43.8
deep_low,0.05,2026-01-01T19:00:00Z,39.5
deep_low,0.05,2026-01-01T20:00:00Z,29.9
deep_low,0.05,2026-01-01T21:00:00Z,21.1
deep_low,0.05,2026-01-01T22:00:00Z,16.2
deep_low,0.05,2026-01-01T23:00:00Z,14.2
low,0.2,2026-01-01T00:00:00Z,26.7
low,0.2,2026-01-01T01:00:00Z,23.1
low,0.2,2026-01-01T02:00:00Z,20.2
low,0.2,2026-01-01T03:00:00Z,19.1
low,0.2,2026-01-01T04:00:00Z,20.9
low,0.2,2026-01-01T05:00:00Z,26.7
low,0.2,2026-01-01T06:00:00Z,37.5
low,0.2,2026-01-01T07:00:00Z,50.8
low,0.2,2026-01-01T08:00:00Z,58.2
low,0.2,2026-01-01T09:00:00Z,54.2
low,0.2,2026-01-01T10:00:00Z,44.5
low,0.2,2026-01-01T11:00:00Z,37.5
low,0.2,2026-01-01T12:00:00Z,34.9
low,0.2,2026-01-01T13:00:00Z,35.0
low,0.2,2026-01-01T14:00:00Z,37.5
low,0.2,2026-01-01T15:00:00Z,44.3
low,0.2,2026-01-01T16:00:00Z,56.3
low,0.2,2026-01-01T17:00:00Z,69.4
low,0.2,2026-01-01T18:00:00Z,75.2
low,0.2,2026-01-01T19:00:00Z,69.4
low,0.2,2026-01-01T20:00:00Z,56.3
low,0.2,2026-01-01T21:00:00Z,44.3
low,0.2,2026-01-01T22:00:00Z,37.5
low,0.2,2026-01-01T23:00:00Z,34.9
base,0.4,2026-01-01T00:00:00Z,42.3
base,0.4,2026-01-01T01:00:00Z,37.5
base,0.4,2026-01-01T02:00:00Z,33.5
base,0.4,2026-01-01T03:00:00Z,32.1
base,0.4,2026-01-01T04:00:00Z,34.5
base,0.4,2026-01-01T05:00:00Z,42.2
base,0.4,2026-01-01T06:00:00Z,56.7
base,0.4,2026-01-01T07:00:00Z,74.5
base,0.4,2026-01-01T08:00:00Z,84.3
base,0.4,2026-01-01T09:00:00Z,78.9
base,0.4,2026-01-01T10:00:00Z,66.0
base,0.4,2026-01-01T11:00:00Z,56.6
base,0.4,2026-01-01T12:00:00Z,53.2
base,0.4,2026-01-01T13:00:00Z,53.3
base,0.4,2026-01-01T14:00:00Z,56.7
base,0.4,2026-01-01T15:00:00Z,65.7
base,0.4,2026-01-01T16:00:00Z,81.7
base,0.4,2026-01-01T17:00:00Z,99.1
base,0.4,2026-01-01T18:00:00Z,107.0
base,0.4,2026-01-01T19:00:00Z,99.1
base,0.4,2026-01-01T20:00:00Z,81.7
base,0.4,2026-01-01T21:00:00Z,65.7
base,0.4,2026-01-01T22:00:00Z,56.7
base,0.4,2026-01-01T23:00:00Z,53.2
high,0.25,2026-01-01T00:00:00Z,62.9
high,0.25,2026-01-01T01:00:00Z,56.7
high,0.25,2026-01-01T02:00:00Z,51.6
high,0.25,2026-01-01T03:00:00Z,49.8
high,0.25,2026-01-01T04:00:00Z,52.9
high,0.25,2026-01-01T05:00:00Z,62.9
