scenario,probability,timestamp,price_eur_per_mwh
low,0.25,2026-01-01T00:00:00Z,30.33
low,0.25,2026-01-01T00:15:00Z,29.24
low,0.25,2026-01-01T00:30:00Z,20.7
low,0.25,2026-01-01T00:45:00Z,24.75
low,0.25,2026-01-01T01:00:00Z,25.78
low,0.25,2026-01-01T01:15:00Z,24.52
low,0.25,2026-01-01T01:30:00Z,19.73
low,0.25,2026-01-01T01:45:00Z,19.73
low,0.25,2026-01-01T02:00:00Z,21.88
low,0.25,2026-01-01T02:15:00Z,17.3
low,0.25,2026-01-01T02:30:00Z,19.73
low,0.25,2026-01-01T02:45:00Z,15.46
low,0.25,2026-01-01T03:00:00Z,20.09
low,0.25,2026-01-01T03:15:00Z,16.59
low,0.25,2026-01-01T03:30:00Z,20.81
low,0.25,2026-01-01T03:45:00Z,24.9
low,0.25,2026-01-01T04:00:00Z,25.8
low,0.25,2026-01-01T04:15:00Z,26.22
low,0.25,2026-01-01T04:30:00Z,19.56
low,0.25,2026-01-01T04:45:00Z,27.52
low,0.25,2026-01-01T05:00:00Z,26.3
low,0.25,2026-01-01T05:15:00Z,26.46
low,0.25,2026-01-01T05:30:00Z,33.42
low,0.25,2026-01-01T05:45:00Z,37.92
low,0.25,2026-01-01T06:00:00Z,45.42
low,0.25,2026-01-01T06:15:00Z,41.89
low,0.25,2026-01-01T06:30:00Z,49.97
low,0.25,2026-01-01T06:45:00Z,39.53
low,0.25,2026-01-01T07:00:00Z,52.0
low,0.25,2026-01-01T07:15:00Z,55.88
low,0.25,2026-01-01T07:30:00Z,56.42
low,0.25,2026-01-01T07:45:00Z,62.86
low,0.25,2026-01-01T08:00:00Z,59.96
low,0.25,2026-01-01T08:15:00Z,63.68
low,0.25,2026-01-01T08:30:00Z,63.04
low,0.25,2026-01-01T08:45:00Z,55.56
low,0.25,2026-01-01T09:00:00Z,56.0
low,0.25,2026-01-01T09:15:00Z,53.88
low,0.25,2026-01-01T09:30:00Z,50.96
low,0.25,2026-01-01T09:45:00Z,46.46
low,0.25,2026-01-01T10:00:00Z,44.04
low,0.25,2026-01-01T10:15:00Z,45.49
low,0.25,2026-01-01T10:30:00Z,39.45
low,0.25,2026-01-01T10:45:00Z,38.89
low,0.25,2026-01-01T11:00:00Z,41.6
low,0.25,2026-01-01T11:15:00Z,40.31
low,0.25,2026-01-01T11:30:00Z,37.37
low,0.25,2026-01-01T11:45:00Z,33.13
low,0.25,2026-01-01T12:00:00Z,30.4
low,0.25,2026-01-01T12:15:00Z,36.64
low,0.25,2026-01-01T12:30:00Z,36.1
low,0.25,2026-01-01T12:45:00Z,39.19
low,0.25,2026-01-01T13:00:00Z,39.36
low,0.25,2026-01-01T13:15:00Z,35.54
low,0.25,2026-01-01T13:30:00Z,36.86
low,0.25,2026-01-01T13:45:00Z,38.15
low,0.25,2026-01-01T14:00:00Z,39.43
low,0.25,2026-01-01T14:15:00Z,41.88
low,0.25,2026-01-01T14:30:00Z,46.1
low,0.25,2026-01-01T14:45:00Z,45.26
low,0.25,2026-01-01T15:00:00Z,47.22
low,0.25,2026-01-01T15:15:00Z,48.09
low,0.25,2026-01-01T15:30:00Z,49.7
low,0.25,2026-01-01T15:45:00Z,53.06
low,0.25,2026-01-01T16:00:00Z,56.74
low,0.25,2026-01-01T16:15:00Z,62.52
low,0.25,2026-01-01T16:30:00Z,68.76
low,0.25,2026-01-01T16:45:00Z,66.75
low,0.25,2026-01-01T17:00:00Z,69.36
low,0.25,2026-01-01T17:15:00Z,75.72
low,0.25,2026-01-01T17:30:00Z,84.12
low,0.25,2026-01-01T17:45:00Z,74.59
low,0.25,2026-01-01T18:00:00Z,75.11
low,0.25,2026-01-01T18:15:00Z,77.06
low,0.25,2026-01-01T18:30:00Z,75.71
low,0.25,2026-01-01T18:45:00Z,72.84
low,0.25,2026-01-01T19:00:00Z,73.32
low,0.25,2026-01-01T19:15:00Z,66.2
low,0.25,2026-01-01T19:30:00Z,60.25
low,0.25,2026-01-01T19:45:00Z,63.05
low,0.25,2026-01-01T20:00:00Z,56.62
low,0.25,2026-01-01T20:15:00Z,56.13
low,0.25,2026-01-01T20:30:00Z,51.83
low,0.25,2026-01-01T20:45:00Z,49.62
low,0.25,2026-01-01T21:00:00Z,44.2
low,0.25,2026-01-01T21:15:00Z,40.91
low,0.25,2026-01-01T21:30:00Z,38.83
low,0.25,2026-01-01T21:45:00Z,41.32
low,0.25,2026-01-01T22:00:00Z,33.05
low,0.25,2026-01-01T22:15:00Z,38.61
low,0.25,2026-01-01T22:30:00Z,37.25
low,0.25,2026-01-01T22:45:00Z,40.02
low,0.25,2026-01-01T23:00:00Z,31.37
low,0.25,2026-01-01T23:15:00Z,35.81
low,0.25,2026-01-01T23:30:00Z,37.21
low,0.25,2026-01-01T23:45:00Z,32.56
base,0.5,2026-01-01T00:00:00Z,47.78
base,0.5,2026-01-01T00:15:00Z,37.44
base,0.5,2026-01-01T00:30:00Z,36.7
base,0.5,2026-01-01T00:45:00Z,45.79
base,0.5,2026-01-01T01:00:00Z,41.84
base,0.5,2026-01-01T01:15:00Z,39.45
base,0.5,2026-01-01T01:30:00Z,36.22
base,0.5,2026-01-01T01:45:00Z,30.25
base,0.5,2026-01-01T02:00:00Z,24.87
base,0.5,2026-01-01T02:15:00Z,35.55
base,0.5,2026-01-01T02:30:00Z,39.03
base,0.5,2026-01-01T02:45:00Z,30.8
base,0.5,2026-01-01T03:00:00Z,30.87
base,0.5,2026-01-01T03:15:00Z,32.5
base,0.5,2026-01-01T03:30:00Z,32.36
base,0.5,2026-01-01T03:45:00Z,37.6
base,0.5,2026-01-01T04:00:00Z,39.31
base,0.5,2026-01-01T04:15:00Z,39.2
base,0.5,2026-01-01T04:30:00Z,34.35
base,0.5,2026-01-01T04:45:00Z,41.72
base,0.5,2026-01-01T05:00:00Z,42.29
base,0.5,2026-01-01T05:15:00Z,45.19
base,0.5,2026-01-01T05:30:00Z,41.5
base,0.5,2026-01-01T05:45:00Z,48.5
base,0.5,2026-01-01T06:00:00Z,62.05
base,0.5,2026-01-01T06:15:00Z,64.23
base,0.5,2026-01-01T06:30:00Z,65.79
base,0.5,2026-01-01T06:45:00Z,75.12
base,0.5,2026-01-01T07:00:00Z,74.57
base,0.5,2026-01-01T07:15:00Z,69.41
base,0.5,2026-01-01T07:30:00Z,78.71
base,0.5,2026-01-01T07:45:00Z,78.89
base,0.5,2026-01-01T08:00:00Z,86.0
base,0.5,2026-01-01T08:15:00Z,86.82
base,0.5,2026-01-01T08:30:00Z,78.13
base,0.5,2026-01-01T08:45:00Z,78.48
base,0.5,2026-01-01T09:00:00Z,82.78
base,0.5,2026-01-01T09:15:00Z,74.59
base,0.5,2026-01-01T09:30:00Z,72.2
base,0.5,2026-01-01T09:45:00Z,67.35
base,0.5,2026-01-01T10:00:00Z,66.78
base,0.5,2026-01-01T10:15:00Z,67.66
base,0.5,2026-01-01T10:30:00Z,67.42
base,0.5,2026-01-01T10:45:00Z,56.52
