scenario,probability,timestamp,price_eur_per_mwh
low,0.25,2026-01-01T00:00:00Z,42
low,0.25,2026-01-01T01:00:00Z,38
low,0.25,2026-01-01T02:00:00Z,35
low,0.25,2026-01-01T03:00:00Z,32
low,0.25,2026-01-01T04:00:00Z,30
low,0.25,2026-01-01T05:00:00Z,34
low,0.25,2026-01-01T06:00:00Z,45
low,0.25,2026-01-01T07:00:00Z,58
low,0.25,2026-01-01T08:00:00Z,65
low,0.25,2026-01-01T09:00:00Z,55
low,0.25,2026-01-01T10:00:00Z,33
low,0.25,2026-01-01T11:00:00Z,20
low,0.25,2026-01-01T12:00:00Z,10
low,0.25,2026-01-01T13:00:00Z,14
low,0.25,2026-01-01T14:00:00Z,24
low,0.25,2026-01-01T15:00:00Z,42
low,0.25,2026-01-01T16:00:00Z,68
low,0.25,2026-01-01T17:00:00Z,96
low,0.25,2026-01-01T18:00:00Z,110
low,0.25,2026-01-01T19:00:00Z,88
low,0.25,2026-01-01T20:00:00Z,72
low,0.25,2026-01-01T21:00:00Z,60
low,0.25,2026-01-01T22:00:00Z,52
low,0.25,2026-01-01T23:00:00Z,46
base,0.50,2026-01-01T00:00:00Z,54
base,0.50,2026-01-01T01:00:00Z,49
base,0.50,2026-01-01T02:00:00Z,44
base,0.50,2026-01-01T03:00:00Z,39
base,0.50,2026-01-01T04:00:00Z,36
base,0.50,2026-01-01T05:00:00Z,42
base,0.50,2026-01-01T06:00:00Z,58
base,0.50,2026-01-01T07:00:00Z,76
base,0.50,2026-01-01T08:00:00Z,83
base,0.50,2026-01-01T09:00:00Z,71
base,0.50,2026-01-01T10:00:00Z,45
base,0.50,2026-01-01T11:00:00Z,28
base,0.50,2026-01-01T12:00:00Z,18
base,0.50,2026-01-01T13:00:00Z,22
base,0.50,2026-01-01T14:00:00Z,31
base,0.50,2026-01-01T15:00:00Z,56
base,0.50,2026-01-01T16:00:00Z,89
base,0.50,2026-01-01T17:00:00Z,126
base,0.50,2026-01-01T18:00:00Z,142
base,0.50,2026-01-01T19:00:00Z,118
base,0.50,2026-01-01T20:00:00Z,95
base,0.50,2026-01-01T21:00:00Z,78
base,0.50,2026-01-01T22:00:00Z,66
base,0.50,2026-01-01T23:00:00Z,59
stress,0.25,2026-01-01T00:00:00Z,68
stress,0.25,2026-01-01T01:00:00Z,62
stress,0.25,2026-01-01T02:00:00Z,55
stress,0.25,2026-01-01T03:00:00Z,48
stress,0.25,2026-01-01T04:00:00Z,42
stress,0.25,2026-01-01T05:00:00Z,50
stress,0.25,2026-01-01T06:00:00Z,76
stress,0.25,2026-01-01T07:00:00Z,108
stress,0.25,2026-01-01T08:00:00Z,122
stress,0.25,2026-01-01T09:00:00Z,90
stress,0.25,2026-01-01T10:00:00Z,40
stress,0.25,2026-01-01T11:00:00Z,12
stress,0.25,2026-01-01T12:00:00Z,-8
stress,0.25,2026-01-01T13:00:00Z,-2
stress,0.25,2026-01-01T14:00:00Z,18
stress,0.25,2026-01-01T15:00:00Z,66
stress,0.25,2026-01-01T16:00:00Z,128
stress,0.25,2026-01-01T17:00:00Z,210
stress,0.25,2026-01-01T18:00:00Z,240
stress,0.25,2026-01-01T19:00:00Z,180
stress,0.25,2026-01-01T20:00:00Z,132
stress,0.25,2026-01-01T21:00:00Z,102
stress,0.25,2026-01-01T22:00:00Z,88
stress,0.25,2026-01-01T23:00:00Z,72
