scenario,probability,timestamp,price_eur_per_mwh
deep_low,0.05,2026-01-05T00:00:00Z,8.2
deep_low,0.05,2026-01-05T01:00:00Z,5.6
deep_low,0.05,2026-01-05T02:00:00Z,3.5
deep_low,0.05,2026-01-05T03:00:00Z,2.7
deep_low,0.05,2026-01-05T04:00:00Z,4.0
deep_low,0.05,2026-01-05T05:00:00Z,8.2
deep_low,0.05,2026-01-05T06:00:00Z,16.2
deep_low,0.05,2026-01-05T07:00:00Z,26.0
deep_low,0.05,2026-01-05T08:00:00Z,31.4
deep_low,0.05,2026-01-05T09:00:00Z,28.4
deep_low,0.05,2026-01-05T10:00:00Z,21.3
deep_low,0.05,2026-01-05T11:00:00Z,16.2
deep_low,0.05,2026-01-05T12:00:00Z,14.2
deep_low,0.05,2026-01-05T13:00:00Z,14.3
deep_low,0.05,2026-01-05T14:00:00Z,16.2
deep_low,0.05,2026-01-05T15:00:00Z,21.1
deep_low,0.05,2026-01-05T16:00:00Z,29.9
deep_low,0.05,2026-01-05T17:00:00Z,39.5
deep_low,0.05,2026-01-05T18:00:00Z,43.8
deep_low,0.05,2026-01-05T19:00:00Z,39.5
deep_low,0.05,2026-01-05T20:00:00Z,29.9
deep_low,0.05,2026-01-05T21:00:00Z,21.1
deep_low,0.05,2026-01-05T22:00:00Z,16.2
deep_low,0.05,2026-01-05T23:00:00Z,14.2
deep_low,0.05,2026-01-06T00:00:00Z,8.2
deep_low,0.05,2026-01-06T01:00:00Z,5.6
deep_low,0.05,2026-01-06T02:00:00Z,3.5
deep_low,0.05,2026-01-06T03:00:00Z,2.7
deep_low,0.05,2026-01-06T04:00:00Z,4.0
deep_low,0.05,2026-01-06T05:00:00Z,8.2
deep_low,0.05,2026-01-06T06:00:00Z,16.2
deep_low,0.05,2026-01-06T07:00:00Z,26.0
deep_low,0.05,2026-01-06T08:00:00Z,31.4
deep_low,0.05,2026-01-06T09:00:00Z,28.4
deep_low,0.05,2026-01-06T10:00:00Z,21.3
deep_low,0.05,2026-01-06T11:00:00Z,16.2
deep_low,0.05,2026-01-06T12:00:00Z,14.2
deep_low,0.05,2026-01-06T13:00:00Z,14.3
deep_low,0.05,2026-01-06T14:00:00Z,16.2
deep_low,0.05,2026-01-06T15:00:00Z,21.1
deep_low,0.05,2026-01-06T16:00:00Z,29.9
deep_low,0.05,2026-01-06T17:00:00Z,39.5
deep_low,0.05,2026-01-06T18:00:00Z,43.8
deep_low,0.05,2026-01-06T19:00:00Z,39.5
deep_low,0.05,2026-01-06T20:00:00Z,29.9
deep_low,0.05,2026-01-06T21:00:00Z,21.1
deep_low,0.05,2026-01-06T22:00:00Z,16.2
deep_low,0.05,2026-01-06T23:00:00Z,14.2
deep_low,0.05,2026-01-07T00:00:00Z,8.2
deep_low,0.05,2026-01-07T01:00:00Z,5.6
deep_low,0.05,2026-01-07T02:00:00Z,3.5
deep_low,0.05,2026-01-07T03:00:00Z,2.7
